weeks	3771	1.7013322E-4
addition	3766	1.6990764E-4
woman	3765	1.6986251E-4
west	3749	1.6914067E-4
associated	3748	1.6909554E-4
clear	3743	1.6886996E-4
future	3732	1.6837368E-4
social	3730	1.6828346E-4
function	3727	1.6814811E-4
hope	3725	1.6805787E-4
coming	3724	1.6801276E-4
turn	3724	1.6801276E-4
compared	3723	1.6796764E-4
questions	3721	1.678774E-4
outside	3707	1.6724577E-4
certain	3707	1.6724577E-4
fun	3705	1.6715555E-4
mind	3701	1.6697508E-4
management	3698	1.6683973E-4
friends	3692	1.6656904E-4
art	3679	1.6598252E-4
century	3640	1.6422299E-4
average	3639	1.6417788E-4
itself	3617	1.6318532E-4
region	3617	1.6318532E-4
effects	3603	1.625537E-4
summer	3594	1.6214764E-4
blood	3590	1.6196718E-4
individual	3582	1.6160625E-4
final	3579	1.614709E-4
tv	3573	1.6120021E-4
college	3570	1.6106486E-4
third	3565	1.6083928E-4
language	3562	1.6070393E-4
knew	3557	1.6047835E-4
disease	3533	1.5939555E-4
difference	3529	1.592151E-4
et	3528	1.5916998E-4
friend	3521	1.5885416E-4
understand	3520	1.5880905E-4
ii	3503	1.5804206E-4
cd	3502	1.5799695E-4
anyway	3493	1.5759091E-4
issues	3488	1.5736533E-4
short	3478	1.5691416E-4
y	3467	1.5641788E-4
gave	3461	1.5614719E-4
stop	3455	1.5587649E-4
cancer	3444	1.5538021E-4
culture	3442	1.5528998E-4
cut	3441	1.5524487E-4
observed	3440	1.5519976E-4
move	3440	1.5519976E-4
computer	3437	1.5506441E-4
needs	3437	1.5506441E-4
congress	3433	1.5488394E-4
list	3428	1.5465835E-4
review	3418	1.542072E-4
administration	3412	1.539365E-4
special	3399	1.5334999E-4
exactly	3399	1.5334999E-4
behind	3387	1.5280858E-4
except	3386	1.5276347E-4
expected	3372	1.5213185E-4
interview	3369	1.519965E-4
july	3369	1.519965E-4
required	3364	1.5177092E-4
ones	3363	1.517258E-4
potential	3361	1.5163557E-4
methods	3355	1.5136487E-4
face	3352	1.5122953E-4
needed	3350	1.5113929E-4
nyt	3350	1.5113929E-4
community	3347	1.5100394E-4
military	3341	1.5073325E-4
god	3340	1.5068812E-4
living	3335	1.5046255E-4
particular	3334	1.5041743E-4
body	3332	1.503272E-4
international	3332	1.503272E-4
x	3332	1.503272E-4
identified	3331	1.5028208E-4
film	3326	1.500565E-4
w	3324	1.4996628E-4
wo	3311	1.4937976E-4
showed	3306	1.4915418E-4
values	3292	1.4852255E-4
normal	3292	1.4852255E-4
policy	3289	1.483872E-4
economic	3282	1.4807138E-4
campaign	3282	1.4807138E-4
finally	3282	1.4807138E-4
due	3278	1.4789093E-4
themselves	3268	1.4743976E-4
performance	3268	1.4743976E-4
quality	3268	1.4743976E-4
books	3265	1.4730441E-4
therefore	3265	1.4730441E-4
personal	3264	1.472593E-4
rule	3253	1.4676302E-4
period	3251	1.4667278E-4
population	3243	1.4631185E-4
wall	3242	1.4626674E-4
heart	3235	1.4595092E-4
building	3232	1.4581557E-4
o	3228	1.4563512E-4
terms	3226	1.4554488E-4
lower	3223	1.4540953E-4
related	3219	1.4522907E-4
main	3213	1.4495837E-4
j	3213	1.4495837E-4
private	3209	1.447779E-4
father	3192	1.4401093E-4
slate	3188	1.4383046E-4
added	3186	1.4374024E-4
director	3177	1.4333418E-4
points	3176	1.4328907E-4
became	3175	1.4324396E-4
action	3171	1.4306349E-4
subject	3163	1.4270256E-4
answer	3162	1.4265745E-4
position	3153	1.422514E-4
medical	3140	1.4166489E-4
amount	3139	1.4161978E-4
hear	3130	1.4121372E-4
happy	3124	1.4094303E-4
red	3118	1.4067233E-4
wife	3114	1.4049187E-4
church	3112	1.4040164E-4
longer	3109	1.4026629E-4
article	3108	1.4022116E-4
students	3102	1.3995047E-4
piece	3101	1.3990536E-4
systems	3098	1.3977001E-4
technology	3096	1.3967977E-4
r	3090	1.3940908E-4
considered	3085	1.391835E-4
works	3083	1.3909326E-4
size	3079	1.389128E-4
media	3076	1.3877745E-4
leave	3072	1.3859698E-4
press	3069	1.3846163E-4
ask	3069	1.3846163E-4
view	3068	1.3841652E-4
performed	3067	1.3837141E-4
